Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case101_14,0,14,0,1.0
Case101_16,0,16,0,1.0
Case101_17,0,17,0,1.0
Case103_4,1,4,0,1.0
Case104_6,0,6,0,0.9999998206187276
Case115_19,1,19,1,1.0
Case116_4,1,4,1,1.0
Case11_13,1,13,1,1.0
Case11_17,1,17,1,1.0
Case121_2,0,2,0,1.0
Case121_4,0,4,0,1.0
Case122_5,0,5,0,0.9999999951769496
Case123_6,1,6,1,0.9988601152169045
Case124_5,0,5,0,0.9999999999787974
Case125_4,0,4,0,1.0
Case127_10,1,10,0,0.9998203973862257
Case127_6,1,6,0,0.9999999999618012
Case12_11,0,11,0,1.0
Case12_16,0,16,0,1.0
Case12_18,0,18,0,1.0
Case12_19,0,19,0,1.0
Case135_2,1,2,0,1.0
Case153_3,0,3,0,1.0
Case155_8,0,8,0,1.0
Case163_2,1,2,1,1.0
Case178_20,0,20,0,1.0
Case178_7,0,7,0,1.0
Case17_14,1,14,1,1.0
Case187_16,1,16,1,1.0
Case188_12,1,12,1,1.0
Case18_19,1,19,1,1.0
Case18_20,1,20,1,1.0
Case190_2,0,2,0,1.0
Case192_14,0,14,0,1.0
Case192_15,0,15,0,1.0
Case194_10,1,10,1,1.0
Case194_12,1,12,1,1.0
Case194_5,1,5,1,1.0
Case195_14,0,14,0,1.0
Case199_5,1,5,0,0.9999999998045155
Case203_4,0,4,0,1.0
Case206_8,1,8,1,1.0
Case207_13,1,13,1,1.0
Case208_7,1,7,1,0.9999078524747164
Case20_17,1,17,1,1.0
Case20_18,1,18,1,1.0
Case20_8,1,8,1,1.0
Case210_16,0,16,0,0.9999999999999432
Case210_17,0,17,0,0.9999999999993463
Case210_20,0,20,0,1.0
Case211_3,0,3,0,1.0
Case211_7,0,7,0,1.0
Case215_7,0,7,0,1.0
Case21_11,1,11,1,1.0
Case21_20,1,20,1,1.0
Case21_7,1,7,1,1.0
Case223_12,0,12,0,1.0
Case223_19,0,19,0,1.0
Case223_20,0,20,0,1.0
Case229_10,0,10,0,1.0
Case231_4,1,4,0,1.0
Case233_3,1,3,0,1.0
Case235_5,1,5,1,1.0
Case238,1,1,1,1.0
Case238_15,1,15,1,1.0
Case244,1,1,0,1.0
Case245_10,1,10,0,1.0
Case245_15,1,15,0,1.0
Case249_17,1,17,0,0.9999999999984084
Case250_13,0,13,0,1.0
Case257_11,1,11,1,1.0
Case259_14,1,14,1,1.0
Case259_18,1,18,1,1.0
Case25_13,1,13,0,0.9979812696350162
Case25_16,1,16,0,0.9999999999982379
Case25_20,1,20,1,1.0
Case260_3,1,3,0,0.9999999999992042
Case263_17,0,17,0,1.0
Case263_18,0,18,0,1.0
Case265_11,0,11,0,1.0
Case265_15,0,15,0,1.0
Case266_12,1,12,1,1.0
Case267_15,1,15,1,1.0
Case267_18,1,18,1,1.0
Case267_19,1,19,1,1.0
Case268_2,1,2,0,0.9999999999880629
Case277_9,1,9,0,1.0
Case27_13,0,13,0,1.0
Case30_6,0,6,0,1.0
Case32_9,1,9,1,0.9999999999990621
Case33_3,1,3,0,1.0
Case34,0,1,0,1.0
Case34_15,0,15,0,1.0
Case39_8,0,8,0,0.9999379182037194
Case39_9,0,9,0,0.9999971927376419
Case3_10,0,10,1,0.9999962899861755
Case3_12,0,12,1,1.0
Case3_13,0,13,1,1.0
Case40_9,0,9,0,1.0
Case41_12,0,12,0,1.0
Case43_10,0,10,0,1.0
Case44,1,1,1,1.0
Case44_11,1,11,1,1.0
Case44_8,1,8,1,1.0
Case52_3,0,3,0,1.0
Case55_7,1,7,1,1.0
Case55_9,1,9,1,1.0
Case58_6,0,6,0,1.0
Case61_14,1,14,1,1.0
Case61_16,1,16,1,1.0
Case65,0,1,0,0.9999998106592508
Case67_19,0,19,1,1.0
Case67_8,0,8,0,0.9996147294906527
Case72_5,0,5,0,1.0
Case83_9,0,9,0,0.9999663194355628
Case84_18,0,18,0,1.0
Case95_6,1,6,1,1.0
Case98,0,1,0,1.0
Case99_2,0,2,1,1.0
Case9_11,0,11,0,1.0
