Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
918;1;1;1;0.999974199315398;1.0;1.0;1.0
925;1;1;1;0.9999998818082951;1.0;1.0;1.0
931;0;1;1;0.9526011472695083;1.0;1.0;1.0
935;0;1;0;0.9954927662864673;1.0;1.0;1.0
1062;1;1;1;0.9945594609810923;1.0;1.0;1.0
1079;0;1;0;0.9924837493040479;1.0;1.0;1.0
1109;0;1;0;0.8536939070956419;1.0;1.0;1.0
1122;1;1;1;0.5350831770441581;1.0;1.0;1.0
1002_13;1;13;1;0.9970377869499071;1.0;1.0;1.0
1003_11;0;11;0;0.9994488193599046;1.0;1.0;1.0
1004_11;1;11;0;0.8868680274505137;1.0;1.0;1.0
1004_3;1;3;1;0.9920408315764119;1.0;1.0;1.0
1004_8;1;8;1;0.947911430468154;1.0;1.0;1.0
1005_8;0;8;0;0.5769720375649142;1.0;1.0;1.0
1009_8;0;8;1;0.9970202535429202;1.0;1.0;1.0
1009_9;0;9;1;0.9983468928487432;1.0;1.0;1.0
1017_3;1;3;1;0.9997760294073829;1.0;1.0;1.0
1017_4;1;4;1;0.9998342625902727;1.0;1.0;1.0
1018_12;0;12;0;0.9999738083076052;1.0;1.0;1.0
1018_4;0;4;0;0.9999109734310462;1.0;1.0;1.0
1020_14;1;14;1;0.9989620870264846;1.0;1.0;1.0
1022_14;0;14;1;0.9748724035663311;1.0;1.0;1.0
1022_5;0;5;1;0.9988330260008317;1.0;1.0;1.0
1024_3;0;3;1;0.9959633857403846;1.0;1.0;1.0
1026_4;1;4;1;0.9999964478130203;1.0;1.0;1.0
1029_6;0;6;0;0.9999863067543983;1.0;1.0;1.0
1030_2;1;2;1;0.9947465150415566;1.0;1.0;1.0
1030_6;1;6;1;0.9984453140076706;1.0;1.0;1.0
1031_9;0;9;0;0.9836750970396049;1.0;1.0;1.0
1036_12;1;12;1;0.9991782727314719;1.0;1.0;1.0
1038_7;0;7;0;0.9271460785057932;1.0;1.0;1.0
1041_11;0;11;1;0.9993824636045051;1.0;1.0;1.0
1041_13;0;13;1;0.9999052186162786;1.0;1.0;1.0
1045_8;0;8;1;0.9999986778280878;1.0;1.0;1.0
1048_11;0;11;0;0.9983010066530312;1.0;1.0;1.0
1048_4;0;4;0;0.9998007255172577;1.0;1.0;1.0
1049_9;1;9;1;0.9999955312029238;1.0;1.0;1.0
1054_14;1;14;1;0.9991521731399948;1.0;1.0;1.0
1055_7;1;7;1;0.9860738068602818;1.0;1.0;1.0
1056_10;0;10;0;0.9932708198498909;1.0;1.0;1.0
1056_4;0;4;0;0.9999881569945507;1.0;1.0;1.0
1059_14;1;14;1;0.7796390267861232;1.0;1.0;1.0
1064_5;1;5;1;0.9968344514913579;1.0;1.0;1.0
1065_2;0;2;0;0.999996923989746;1.0;1.0;1.0
1066_12;1;12;1;0.9976332455951559;1.0;1.0;1.0
1069_2;0;2;1;0.744544155994667;1.0;1.0;1.0
1070_7;0;7;0;0.6859197534737702;1.0;1.0;1.0
1071_10;1;10;1;0.9997529310593805;1.0;1.0;1.0
1071_11;1;11;1;0.9999146366782625;1.0;1.0;1.0
1072_13;1;13;1;0.9999999915965064;1.0;1.0;1.0
1074_14;0;14;1;0.9999988654603318;1.0;1.0;1.0
1074_2;0;2;1;0.9999995235723962;1.0;1.0;1.0
1081_9;1;9;0;0.9735835644286328;1.0;1.0;1.0
1085_10;1;10;1;0.9986536144474099;1.0;1.0;1.0
1085_6;1;6;1;0.9980055073202307;1.0;1.0;1.0
1089_4;0;4;0;0.999907145054224;1.0;1.0;1.0
1094_7;1;7;1;0.9999881881501053;1.0;1.0;1.0
1096_10;0;10;1;0.9999969539601752;1.0;1.0;1.0
1097_3;1;3;1;0.9999937888062189;1.0;1.0;1.0
1100_12;1;12;1;0.9999999993894366;1.0;1.0;1.0
1100_14;1;14;1;0.999999999854503;1.0;1.0;1.0
1104_5;1;5;1;0.9667290744374143;1.0;1.0;1.0
1105_14;0;14;0;0.6568784626009139;1.0;1.0;1.0
1106_9;0;9;0;0.8761449059307045;1.0;1.0;1.0
1110_13;0;13;0;0.5779740734413886;1.0;1.0;1.0
1118_6;0;6;0;0.9848983811839674;1.0;1.0;1.0
1119_6;1;6;1;0.996686711135893;1.0;1.0;1.0
1120_8;1;8;1;0.9838828292212269;1.0;1.0;1.0
1121_2;1;2;1;0.9999998237099419;1.0;1.0;1.0
1121_4;1;4;1;0.9999995479265545;1.0;1.0;1.0
1123_5;0;5;0;0.996789198714792;1.0;1.0;1.0
1135_12;0;12;0;0.9763119764772583;1.0;1.0;1.0
1135_9;0;9;0;0.9792503153396228;1.0;1.0;1.0
1138_13;0;13;0;0.5774455057401078;1.0;1.0;1.0
1139_6;1;6;1;0.9999997575139461;1.0;1.0;1.0
1140_6;0;6;0;0.9989254641880797;1.0;1.0;1.0
913_12;1;12;1;0.9999589496633621;1.0;1.0;1.0
913_5;1;5;1;0.9999806284489998;1.0;1.0;1.0
915_9;1;9;1;0.9715706184790506;1.0;1.0;1.0
917_4;1;4;1;0.9999999969683111;1.0;1.0;1.0
918_13;1;13;1;0.9983272868835801;1.0;1.0;1.0
