Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
206432.0;0.0;1.0;1.0;0.5098944947938202;0.8031135531135531;0.9980838310485628;0.9980838310485628;1.0;0.9999246874320116;0.9999246874320116;;1.0;1.0;1.0;1.0;1.0
206615.0;1.0;1.0;1.0;0.5580778796262049;0.8530974795019739;0.9988149995741518;0.9988149995741518;1.0;0.9998848981753212;0.9998848981753212;;1.0;1.0;;1.0;1.0
207125.0;0.0;1.0;0.0;0.5496407382825902;1.0;0.9982182412762008;0.9982182412762008;0.9686771561771558;0.9999673650219628;0.9999673650219628;;1.0;1.0;;1.0;1.0
207359.0;0.0;1.0;0.0;0.6470688576774015;1.0;0.998575938120071;0.998575938120071;0.8696969696969696;0.9999638257162552;0.9999638257162552;;1.0;1.0;;1.0;1.0
209667.0;0.0;1.0;0.0;0.5454030253743088;1.0;0.9984013798871728;0.9984013798871728;0.8167613636363636;0.9999329070239241;0.9999329070239241;;1.0;1.0;;1.0;1.0
212398.0;1.0;1.0;0.0;0.550437778873132;1.0;0.9993637729807048;0.9993637729807048;1.0;0.9999162451242124;0.9999162451242124;;1.0;1.0;;1.0;1.0
212950.0;1.0;1.0;1.0;0.5457877705045756;0.8123015873015873;0.9981178998499513;0.9981178998499513;1.0;0.9999641841528408;0.9999641841528408;;1.0;1.0;;1.0;1.0
213052.0;1.0;1.0;1.0;0.5570929083799071;0.7852147852147853;0.9991106753837548;0.9991106753837548;0.9240461610927933;0.9999595765012038;0.9999595765012038;;1.0;1.0;;1.0;1.0
204862_2;1.0;2.0;0.0;0.9722568118637094;1.0;0.8955754547201501;0.8955754547201501;1.0;0.9603925295465624;0.9603925295465624;;1.0;1.0;1.0;1.0;1.0
206165_2;0.0;2.0;0.0;0.6770485709531531;1.0;0.9439638367226232;0.9439638367226232;1.0;0.9714982719784436;0.9714982719784436;;1.0;1.0;1.0;1.0;1.0
206309_2;1.0;2.0;1.0;0.5313675404702393;1.0;0.8486759108750811;0.8486759108750811;1.0;0.9809942768143772;0.9809942768143772;;1.0;1.0;1.0;1.0;1.0
207798_2;0.0;2.0;0.0;0.5323815030700038;1.0;0.8971848901089685;0.8971848901089685;1.0;0.9737741512337804;0.9737741512337804;;1.0;1.0;1.0;1.0;1.0
209284_2;1.0;2.0;0.0;0.8148795129804431;1.0;0.9096605563305422;0.9096605563305422;1.0;0.9762383335299984;0.9762383335299984;;1.0;1.0;1.0;1.0;1.0
209808_2;1.0;2.0;0.0;0.5082592969573249;1.0;0.830074470280289;0.830074470280289;1.0;0.9770798525126738;0.9770798525126738;;1.0;1.0;1.0;1.0;1.0
210224_2;0.0;2.0;1.0;0.5582158957806393;1.0;-2.2961113329155243;-2.2961113329155243;1.0;0.9747570430979716;0.9747570430979716;;1.0;1.0;1.0;1.0;1.0
213495_2;0.0;2.0;0.0;0.5856854376940318;1.0;0.8849140228354856;0.8849140228354856;1.0;0.9713320787784196;0.9713320787784196;;1.0;1.0;1.0;1.0;1.0
205125_3;1.0;3.0;0.0;0.7696590090524293;1.0;0.7074622032838821;0.7074622032838821;1.0;0.9942719436311506;0.9942719436311506;;1.0;1.0;1.0;1.0;1.0
