Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
204924;1;1;1;0.57975376;1;1;1
205601;0;1;0;0.98813903;1;1;1
205640;1;1;0;0.9507889;1;1;1
206315;0;1;1;0.9699415;1;1;1
209520;0;1;0;0.99826;1;1;1
210668;0;1;1;0.99739695;1;1;1
211098;1;1;1;0.81677455;1;1;1
211408;1;1;1;0.9641788;1;1;1
204481_12;0;12;1;0.97241646;1;1;1
204484_5;0;5;0;0.8568231;1;1;1
204628_10;1;10;1;0.7636819;1;1;1
204685_6;0;6;0;0.9704352;1;1;1
204859_3;1;3;0;0.76323926;1;1;1
204891_2;0;2;0;0.8315979;1;1;1
204999_6;0;6;0;0.9745897;1;1;1
204999_9;0;9;0;0.98488677;1;1;1
205059_5;1;5;1;0.7027449;1;1;1
205065_11;1;11;1;0.9339241;1;1;1
205104_12;0;12;1;0.5106984;1;1;1
205143_11;0;11;1;0.9905847;1;1;1
205167_7;1;7;0;0.6579799;1;1;1
205256_4;0;4;0;0.6587137;1;1;1
205319_12;0;12;0;0.9802103;1;1;1
205424_14;1;14;0;0.98820937;1;1;1
205459_13;0;13;1;0.89963925;1;1;1
205514_6;0;6;0;0.9951111;1;1;1
205517_8;0;8;1;0.9951212;1;1;1
205553_3;1;3;1;0.6003559;1;1;1
205556_2;0;2;0;0.8348571;1;1;1
205742_8;1;8;0;0.85586363;1;1;1
205766_2;1;2;0;0.9961392;1;1;1
205843_7;0;7;0;0.76757455;1;1;1
205897_10;0;10;1;0.98970336;1;1;1
205918_14;1;14;0;0.9991183;1;1;1
205918_4;1;4;0;0.9997961;1;1;1
205921_2;0;2;1;0.5055151;1;1;1
206114_11;1;11;1;0.9880639;1;1;1
206132_9;0;9;0;0.9949119;1;1;1
206165_14;0;14;1;0.8311393;1;1;1
206165_5;0;5;0;0.6763289;1;1;1
206309_6;1;6;1;0.58013797;1;1;1
206366_3;0;3;0;0.8463541;1;1;1
206447_14;0;14;0;0.82681763;1;1;1
206504_8;0;8;0;0.9931815;1;1;1
206510_12;1;12;0;0.9998339;1;1;1
206519_14;1;14;0;0.9983623;1;1;1
206543_5;1;5;1;0.94330555;1;1;1
206606_6;0;6;0;0.7992004;1;1;1
206633_11;1;11;1;0.78378004;1;1;1
206700_7;0;7;0;0.9946881;1;1;1
206700_8;0;8;0;0.99496734;1;1;1
206709_5;0;5;0;0.58560395;1;1;1
206754_8;0;8;1;0.99487466;1;1;1
206763_5;0;5;0;0.99767494;1;1;1
206811_12;1;12;0;0.5002352;1;1;1
206862_12;0;12;0;0.51410556;1;1;1
206913_10;0;10;1;0.99961627;1;1;1
207029_9;1;9;1;0.9913216;1;1;1
207044_9;0;9;0;0.99018425;1;1;1
207050_14;1;14;1;0.9896841;1;1;1
207137_11;0;11;1;0.5465888;1;1;1
207248_10;1;10;0;0.69863224;1;1;1
207413_6;1;6;1;0.57608193;1;1;1
207464_3;0;3;0;0.9962133;1;1;1
207662_4;0;4;0;0.7744166;1;1;1
207702_14;0;14;1;0.68138593;1;1;1
207753_11;0;11;0;0.92853534;1;1;1
207798_13;0;13;0;0.97313446;1;1;1
208343_7;0;7;0;0.81042814;1;1;1
208412_9;1;9;1;0.58944464;1;1;1
208550_11;0;11;0;0.99917537;1;1;1
208667_4;0;4;0;0.9984253;1;1;1
208766_13;0;13;0;0.8735778;1;1;1
209063_7;1;7;1;0.9997844;1;1;1
209138_3;0;3;0;0.96048003;1;1;1
209188_9;1;9;1;0.5589216;1;1;1
209269_9;0;9;1;0.9609645;1;1;1
209374_10;1;10;1;0.79373115;1;1;1
209404_10;0;10;1;0.57015705;1;1;1
209646_6;1;6;0;0.7539638;1;1;1
209712_4;1;4;0;0.9520812;1;1;1
209733_13;1;13;0;0.8762455;1;1;1
209859_4;0;4;0;0.939577;1;1;1
210017_7;1;7;0;0.58770514;1;1;1
210182_10;0;10;0;0.9620354;1;1;1
210251_8;1;8;0;0.9999362;1;1;1
210659_13;1;13;1;0.92628694;1;1;1
210668_13;0;13;0;0.6457536;1;1;1
210689_5;1;5;0;0.9879971;1;1;1
210725_7;0;7;0;0.6326893;1;1;1
210806_4;1;4;1;0.9981647;1;1;1
210914_8;1;8;1;0.62120074;1;1;1
211095_13;1;13;0;0.5046495;1;1;1
211098_2;1;2;1;0.8859765;1;1;1
211113_10;1;10;0;0.99931556;1;1;1
211125_12;1;12;1;0.99033594;1;1;1
211269_2;1;2;0;0.99699926;1;1;1
211444_8;1;8;0;0.84377635;1;1;1
211670_6;1;6;0;0.614591;1;1;1
211883_3;0;3;0;0.67203116;1;1;1
212061_2;1;2;0;0.7520996;1;1;1
212187_2;0;2;0;0.8063599;1;1;1
212196_7;1;7;1;0.9006762;1;1;1
212247_4;1;4;1;0.72838557;1;1;1
212355_13;1;13;0;0.99953556;1;1;1
212383_3;1;3;1;0.57090616;1;1;1
212632_12;1;12;1;0.9861821;1;1;1
212761_5;1;5;0;0.96042734;1;1;1
212815_11;1;11;0;0.5268332;1;1;1
213213_14;0;14;1;0.96378994;1;1;1
214085_9;1;9;0;0.99926025;1;1;1
214226_3;1;3;1;0.84701806;1;1;1
