Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability
0;0;0.963814418;1;1;1;1.0;0.99957868;0.99957868;1.0;1.0;1.0
0;0;0.9843514520000001;1;1;1;1.0;0.9999272240000001;0.9999272240000001;1.0;1.0;1.0
0;0;0.990403405;1;1;1;1.0;0.9999843070000001;0.9999843070000001;1.0;1.0;1.0
0;0;0.9378633559999999;1;1;1;1.0;0.9997256999999999;0.9997256999999999;1.0;1.0;1.0
0;0;0.973340669;1;1;1;1.0;0.9998231759999999;0.9998231759999999;1.0;1.0;1.0
0;0;0.9959860509999999;1;1;1;1.0;0.9999916590000001;0.9999916590000001;1.0;1.0;1.0
0;0;0.978473213;1;1;1;1.0;0.999952295;0.999952295;1.0;1.0;1.0
0;0;0.8397161009999999;1;1;1;1.0;0.9998699879999999;0.9998699879999999;1.0;1.0;1.0
0;0;0.946804333;1;1;1;0.761904762;0.9998744940000001;0.9998744940000001;1.0;1.0;1.0
0;0;0.534679353;1;1;1;1.0;0.9999762390000001;0.9999762390000001;1.0;1.0;1.0
0;0;0.911836085;1;1;1;0.761904762;0.999919459;0.999919459;1.0;1.0;1.0
0;0;0.9985341529999999;1;1;1;1.0;0.99998439;0.99998439;1.0;1.0;1.0
0;0;0.8758467520000001;1;1;1;1.0;0.9999259909999999;0.9999259909999999;1.0;1.0;1.0
1;1;0.976037266;1;1;1;1.0;0.99999405;0.99999405;1.0;1.0;1.0
1;1;0.977705068;1;1;1;1.0;0.9999862209999999;0.9999862209999999;1.0;1.0;1.0
1;1;0.979084645;1;1;1;1.0;0.999987848;0.999987848;1.0;1.0;1.0
1;1;0.979045543;1;1;1;1.0;0.999965309;0.999965309;1.0;1.0;1.0
1;1;0.986996633;1;1;1;1.0;0.999948415;0.999948415;1.0;1.0;1.0
1;1;0.976070063;1;1;1;1.0;0.999167861;0.999167861;1.0;1.0;1.0
1;1;0.970677265;1;1;1;1.0;0.999986484;0.999986484;1.0;1.0;1.0
1;1;0.9593650229999999;1;1;1;1.0;0.999973027;0.999973027;1.0;1.0;1.0
1;1;0.9751843659999999;1;1;1;1.0;0.999972615;0.999972615;1.0;1.0;1.0
1;1;0.971174905;1;1;1;1.0;0.999945181;0.999945181;1.0;1.0;1.0
1;1;0.980675368;1;1;1;1.0;0.99998301;0.99998301;1.0;1.0;1.0
1;1;0.968303185;1;1;1;1.0;0.999926922;0.999926922;1.0;1.0;1.0
1;1;0.975307666;1;1;1;1.0;0.9998988259999999;0.9998988259999999;1.0;1.0;1.0
