Actual;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability
0;0;0.963814418;1;1;1;1;0.99957868;0.99957868
0;0;0.984351452;1;1;1;1;0.999927224;0.999927224
0;0;0.990403405;1;1;1;1;0.999984307;0.999984307
0;0;0.937863356;1;1;1;1;0.9997257;0.9997257
0;0;0.973340669;1;1;1;1;0.999823176;0.999823176
0;0;0.995986051;1;1;1;1;0.999991659;0.999991659
0;0;0.978473213;1;1;1;1;0.999952295;0.999952295
0;0;0.839716101;1;1;1;1;0.999869988;0.999869988
0;0;0.946804333;1;1;1;0.761904762;0.999874494;0.999874494
0;0;0.534679353;1;1;1;1;0.999976239;0.999976239
0;0;0.911836085;1;1;1;0.761904762;0.999919459;0.999919459
0;0;0.998534153;1;1;1;1;0.99998439;0.99998439
0;0;0.875846752;1;1;1;1;0.999925991;0.999925991
1;1;0.976037266;1;1;1;1;0.99999405;0.99999405
1;1;0.977705068;1;1;1;1;0.999986221;0.999986221
1;1;0.979084645;1;1;1;1;0.999987848;0.999987848
1;1;0.979045543;1;1;1;1;0.999965309;0.999965309
1;1;0.986996633;1;1;1;1;0.999948415;0.999948415
1;1;0.976070063;1;1;1;1;0.999167861;0.999167861
1;1;0.970677265;1;1;1;1;0.999986484;0.999986484
1;1;0.959365023;1;1;1;1;0.999973027;0.999973027
1;1;0.975184366;1;1;1;1;0.999972615;0.999972615
1;1;0.971174905;1;1;1;1;0.999945181;0.999945181
1;1;0.980675368;1;1;1;1;0.99998301;0.99998301
1;1;0.968303185;1;1;1;1;0.999926922;0.999926922
1;1;0.975307666;1;1;1;1;0.999898826;0.999898826
