static__Work_Order_Qty,static__Part_Desc__Ballnut,static__Part_Desc__Bearing,static__Part_Desc__Cable Head,static__Part_Desc__Clamp,static__Part_Desc__Compound Dies,static__Part_Desc__Drill,static__Part_Desc__Drum,static__Part_Desc__Flange,static__Part_Desc__Flange Bolt,static__Part_Desc__Housing,static__Part_Desc__O-Ring,static__Part_Desc__Piston,static__Part_Desc__Plug,static__Part_Desc__Punch Holder,static__Part_Desc__Punch Plate,static__Part_Desc__Socket,static__Part_Desc__Spur Gear,static__Part_Desc__Wheel Shaft,static__Rework_missing,agg__Activity_Final Inspection Q.C.,agg__Activity_Flat Grinding - Machine 11,agg__Activity_Grinding Rework - Machine 27,agg__Activity_Lapping - Machine 1,agg__Activity_Laser Marking - Machine 7,agg__Activity_Milling - Machine 16,agg__Activity_Packing,agg__Activity_Round Grinding - Machine 12,agg__Activity_Round Grinding - Machine 2,agg__Activity_Round Grinding - Machine 3,agg__Activity_Round Grinding - Manual,agg__Activity_Round Grinding - Q.C.,agg__Activity_Turn & Mill. & Screw Assem - Machine 10,agg__Activity_Turning & Milling - Machine 10,agg__Activity_Turning & Milling - Machine 4,agg__Activity_Turning & Milling - Machine 5,agg__Activity_Turning & Milling - Machine 6,agg__Activity_Turning & Milling - Machine 8,agg__Activity_Turning & Milling - Machine 9,agg__Activity_Turning & Milling Q.C.,agg__Activity_Turning - Machine 8,agg__Activity_Turning - Machine 9,agg__Activity_Turning Q.C.,agg__Activity_Wire Cut - Machine 13,agg__Activity_other,agg__Resource_ID0420,agg__Resource_ID0937,agg__Resource_ID0997,agg__Resource_ID0998,agg__Resource_ID3767,agg__Resource_ID3846,agg__Resource_ID4132,agg__Resource_ID4163,agg__Resource_ID4167,agg__Resource_ID4219,agg__Resource_ID4287,agg__Resource_ID4326,agg__Resource_ID4355,agg__Resource_ID4385,agg__Resource_ID4429,agg__Resource_ID4445,agg__Resource_ID4493,agg__Resource_ID4528,agg__Resource_ID4529,agg__Resource_ID4618,agg__Resource_ID4641,agg__Resource_ID4718,agg__Resource_ID4794,agg__Resource_ID4820,agg__Resource_ID4872,agg__Resource_ID4882,agg__Resource_ID4932,agg__Resource_other,agg__Report_Type_B,agg__Report_Type_D,agg__Report_Type_S,agg__Resource.1_Machine 1 - Lapping,agg__Resource.1_Machine 10 - Grinding,agg__Resource.1_Machine 11 - Grinding,agg__Resource.1_Machine 12 - Grinding,agg__Resource.1_Machine 15 - Turning,agg__Resource.1_Machine 16 - Milling,agg__Resource.1_Machine 2 - Round Grinding,agg__Resource.1_Machine 27 - Grinding,agg__Resource.1_Machine 3 - Round Grinding,agg__Resource.1_Machine 4 - Turning & Milling,agg__Resource.1_Machine 5 - Turning & Milling,agg__Resource.1_Machine 6 - Turning & Milling,agg__Resource.1_Machine 7- Laser Marking,agg__Resource.1_Machine 8 - Turning & Milling,agg__Resource.1_Machine 9 - Turning & Milling,agg__Resource.1_Packing,agg__Resource.1_Quality Check 1,agg__Resource.1_Wire Cut - Machine 13,agg__Resource.1_other,agg__Qty_Completed_mean,agg__Qty_Completed_max,agg__Qty_Completed_min,agg__Qty_Completed_sum,agg__Qty_Completed_std,agg__Qty_for_MRB_mean,agg__Qty_for_MRB_max,agg__Qty_for_MRB_min,agg__Qty_for_MRB_sum,agg__Qty_for_MRB_std,agg__activity_duration_mean,agg__activity_duration_max,agg__activity_duration_min,agg__activity_duration_sum,agg__activity_duration_std,agg__hour_mean,agg__hour_max,agg__hour_min,agg__hour_sum,agg__hour_std,agg__weekday_mean,agg__weekday_max,agg__weekday_min,agg__weekday_sum,agg__weekday_std,agg__month_mean,agg__month_max,agg__month_min,agg__month_sum,agg__month_std,agg__timesincemidnight_mean,agg__timesincemidnight_max,agg__timesincemidnight_min,agg__timesincemidnight_sum,agg__timesincemidnight_std,agg__timesincelastevent_mean,agg__timesincelastevent_max,agg__timesincelastevent_min,agg__timesincelastevent_sum,agg__timesincelastevent_std,agg__timesincecasestart_mean,agg__timesincecasestart_max,agg__timesincecasestart_min,agg__timesincecasestart_sum,agg__timesincecasestart_std,agg__event_nr_mean,agg__event_nr_max,agg__event_nr_min,agg__event_nr_sum,agg__event_nr_std,agg__open_cases_mean,agg__open_cases_max,agg__open_cases_min,agg__open_cases_sum,agg__open_cases_std
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,11.625,27.0,0.0,186.0,10.695014414825877,0.0,0.0,0.0,0.0,0.0,134.375,420.0,14.0,2150.0,114.80410852113845,12.625,23.0,1.0,202.0,6.591661399070799,3.1875,6.0,1.0,51.0,1.973786547054502,3.0,3.0,3.0,48.0,0.0,786.875,1429.0,66.0,12590.0,395.95687896537424,1048.0,11625.0,0.0,16768.0,2874.1946350238704,6513.875,16768.0,0.0,104222.0,7735.762525439881,8.5,16.0,1.0,136.0,4.760952285695233,19.3125,22.0,16.0,309.0,1.3524668819112233
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,31.375,251.0,0.0,502.0,62.577818221262184,0.0,0.0,0.0,0.0,0.0,217.0,619.0,13.0,3472.0,199.84227113734804,12.75,23.0,5.0,204.0,6.340346993658944,2.6875,6.0,0.0,43.0,1.9224550276491081,1.0,1.0,1.0,16.0,0.0,787.1875,1423.0,310.0,12595.0,380.5513927185131,537.5625,2964.0,0.0,8601.0,714.7305290573971,3182.1875,8601.0,0.0,50915.0,2857.6765671608114,8.5,16.0,1.0,136.0,4.760952285695233,34.6875,37.0,32.0,555.0,1.6620770138594678
300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.5625,300.0,0.0,873.0,72.25507479293987,0.0,0.0,0.0,0.0,0.0,395.875,661.0,75.0,6334.0,193.36937882370793,11.0625,19.0,0.0,177.0,5.3475072074129395,2.9375,6.0,0.0,47.0,1.94828984838841,3.0,3.0,3.0,48.0,0.0,699.375,1182.0,13.0,11190.0,324.32820311119,1194.375,11685.0,0.0,19110.0,2829.6425893270216,9776.375,19110.0,0.0,156422.0,7885.780416885404,8.5,16.0,1.0,136.0,4.760952285695233,17.9375,20.0,14.0,287.0,1.9137659209004638
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,11.25,60.0,0.0,180.0,15.216219416574319,0.0,0.0,0.0,0.0,0.0,197.6875,419.0,32.0,3163.0,146.5636238407516,13.0625,23.0,6.0,209.0,5.297405025104273,2.0625,6.0,0.0,33.0,1.8786076404259264,1.0,1.0,1.0,16.0,0.0,815.0,1420.0,397.0,13040.0,314.92327107831625,599.5625,4092.0,0.0,9593.0,996.7659684365901,3175.0,9593.0,0.0,50800.0,2430.033881793969,8.5,16.0,1.0,136.0,4.760952285695233,33.4375,36.0,29.0,535.0,2.6323310328806806
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,20.6875,69.0,0.0,331.0,25.588327417007935,0.0,0.0,0.0,0.0,0.0,216.5,587.0,46.0,3464.0,173.00096338845435,11.75,23.0,1.0,188.0,6.371812928829597,3.125,6.0,0.0,50.0,2.4731895735399396,1.3125,2.0,1.0,21.0,0.4787135538781691,738.0,1425.0,75.0,11808.0,392.47403311132155,1015.4375,8011.0,0.0,16247.0,1999.542646665315,6798.0,16247.0,0.0,108768.0,6345.1641323662125,8.5,16.0,1.0,136.0,4.760952285695233,32.0625,34.0,28.0,513.0,1.569235482647521
250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5625,31.0,0.0,73.0,10.039712811297608,0.0,0.0,0.0,0.0,0.0,269.125,550.0,9.0,4306.0,150.64610847944266,14.375,23.0,4.0,230.0,5.5,2.0,6.0,0.0,32.0,2.309401076758503,1.0,1.0,1.0,16.0,0.0,893.375,1427.0,290.0,14294.0,326.3962571272328,2132.3125,13727.0,0.0,34117.0,3452.386357651762,20493.375,34117.0,0.0,327894.0,9546.681858984653,8.5,16.0,1.0,136.0,4.760952285695233,28.3125,35.0,1.0,453.0,10.319681842640952
100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,100.0,0.0,400.0,33.99411713811671,0.0,0.0,0.0,0.0,0.0,249.375,651.0,14.0,3990.0,243.5114987018067,12.4375,23.0,0.0,199.0,7.284401142166733,1.9375,6.0,0.0,31.0,2.174664725116648,2.0,2.0,2.0,32.0,0.0,780.9375,1387.0,29.0,12495.0,429.1410752887679,251.0625,862.0,0.0,4017.0,266.7674314829305,1877.9375,4017.0,0.0,30047.0,1584.7151360733576,8.5,16.0,1.0,136.0,4.760952285695233,21.1875,24.0,16.0,339.0,2.6132674311418382
200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,37.0,0.0,180.0,12.756697587280705,0.0,0.0,0.0,0.0,0.0,311.25,647.0,43.0,4980.0,202.69862686592953,14.625,23.0,3.0,234.0,6.878711119582408,2.4375,6.0,0.0,39.0,2.159282288168918,1.0,1.0,1.0,16.0,0.0,914.0625,1422.0,198.0,14625.0,414.48594165946486,1313.125,11899.0,0.0,21010.0,2947.6100120832357,15194.0625,21010.0,0.0,243105.0,5176.614588303184,8.5,16.0,1.0,136.0,4.760952285695233,27.9375,31.0,3.0,447.0,6.7178245486665285
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,1.0,3.125,11.0,0.0,50.0,3.8794329482541645,0.0,0.0,0.0,0.0,0.0,236.5,631.0,3.0,3784.0,197.84168755177288,11.0625,20.0,6.0,177.0,4.090130397269343,3.25,6.0,1.0,52.0,1.61245154965971,1.875,2.0,1.0,30.0,0.34156502553198664,696.1875,1217.0,397.0,11139.0,246.9991143708819,2902.4375,39188.0,0.0,46439.0,9696.166575636993,37176.1875,46439.0,0.0,594819.0,14654.055567060608,8.5,16.0,1.0,136.0,4.760952285695233,34.4375,36.0,31.0,551.0,1.5041608956491355
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.375,13.0,0.0,38.0,4.240676046732801,0.0,0.0,0.0,0.0,0.0,144.4375,489.0,1.0,2311.0,130.99820291388224,11.125,17.0,1.0,178.0,5.0182998449009935,3.125,6.0,0.0,50.0,1.8211717839530313,1.0,1.0,1.0,16.0,0.0,693.1875,1062.0,75.0,11091.0,304.72374784384624,1315.4375,11559.0,0.0,21047.0,2842.573809507855,7278.1875,21047.0,0.0,116451.0,7532.186970760882,8.5,16.0,1.0,136.0,4.760952285695233,23.375,36.0,17.0,374.0,5.760497663686126
