,Case ID,Actual,Prefix Length,Prediction,Prediction Probability,LIME Subset Stability,LIME Weight Stability,LIME Adjusted Weight Stability
0,Case100,0,1,0,0.9519949000000001,0.2011737089201876,0.836505470809695,0.836505470809695
1,Case100_2,0,2,0,0.9930709000000001,0.18212931436464552,0.8768408787026634,0.8768408787026634
2,Case100_4,0,4,0,0.9936726,0.2770379915998473,0.8504216204435863,0.8504216204435863
3,Case100_5,0,5,0,0.9959094999999999,0.3611774315154561,0.3528253550023819,0.3528253550023819
4,Case101_11,0,11,0,0.9977813,0.29150661545027723,0.8678667831015463,0.8678667831015463
5,Case101_13,0,13,0,0.9643896999999999,0.17240754169688177,0.7604475770936017,0.7604475770936017
6,Case101_14,0,14,0,0.6143630999999999,0.1538370615525546,-3.275802481871092,-3.275802481871092
7,Case101_15,0,15,1,0.6084946999999999,0.30572982015892936,0.8103682654713582,0.8103682654713582
8,Case101_16,0,16,0,0.8246113000000002,0.23935309973045815,0.8255330961029582,0.8255330961029582
9,Case101_17,0,17,0,0.6926154,0.11812500000000004,0.8655317328074278,0.8655317328074278
10,Case101_6,0,6,0,0.9246495000000001,0.3811953965053765,0.8738690963666772,0.8738690963666772
11,Case101_8,0,8,1,0.62125725,0.26216259899789884,0.8400638883370142,0.8400638883370142
12,Case102_10,1,10,1,0.9995536,0.052018274346518845,0.8352282334555581,0.8352282334555581
13,Case102_12,1,12,1,0.99992704,0.20586419753086416,0.4633443386778706,0.4633443386778706
14,Case102_13,1,13,1,0.9999037000000001,0.2728275683042376,0.8557132513667457,0.8557132513667457
15,Case102_14,1,14,1,0.9997626000000001,0.3040134166088365,0.6672484953858895,0.6672484953858895
16,Case102_15,1,15,1,0.99762756,0.23233980175903934,0.3911992240603188,0.3911992240603188
17,Case102_6,1,6,1,0.9997235999999999,0.3536245051593224,0.8846206323249088,0.8846206323249088
18,Case103_12,1,12,1,0.9968087,0.22683548154062583,0.7509495467452516,0.7509495467452516
19,Case103_3,1,3,1,0.9943768,0.2744226706490859,0.5889494559133812,0.5889494559133812
20,Case103_6,1,6,1,0.9996290000000001,0.18288703870387046,0.6718331935810646,0.6718331935810646
21,Case103_7,1,7,1,0.99994016,0.10912746936224538,0.8947141574999283,0.8947141574999283
22,Case104_2,0,2,1,0.88744533,0.23899755501222486,0.9052271775746776,0.9052271775746776
23,Case105,0,1,1,0.9876199000000001,0.4230620703859125,0.7923861009569678,0.7923861009569678
24,Case106_8,0,8,0,0.9975845999999999,0.11738241308793451,0.8585094723661464,0.8585094723661464
25,Case108_4,1,4,1,0.9984829,0.33166638413290395,0.8983634158513628,0.8983634158513628
26,Case109_3,1,3,1,0.99683315,0.39180668688865405,0.8286783457515,0.8286783457515
27,Case10_11,1,11,1,0.9989021999999999,0.8321197411003236,0.8837406001096704,0.8837406001096704
28,Case10_12,1,12,1,0.99871397,1.0,0.8866196514438575,0.8866196514438575
29,Case10_13,1,13,1,0.99833184,0.6844586374695864,0.8717528913576947,0.8717528913576947
30,Case10_14,1,14,1,0.99890924,0.6213503649635037,0.8628279502630525,0.8628279502630525
31,Case10_15,1,15,1,0.99703467,0.7118555806283631,0.6147635405964677,0.6147635405964677
32,Case10_7,1,7,1,0.99410194,0.8321197411003236,0.8865139587794743,0.8865139587794743
33,Case10_8,1,8,1,0.99775046,0.7118555806283631,0.8583423593837785,0.8583423593837785
34,Case110_4,1,4,1,0.99948645,0.5393495393495393,0.9048540210744193,0.9048540210744193
35,Case110_8,1,8,1,0.9996929,0.8321197411003236,0.06779518926903383,0.06779518926903383
36,Case111,1,1,1,0.99930525,0.7118555806283631,0.925664464661318,0.925664464661318
37,Case111_10,1,10,1,0.99961984,0.7118555806283631,0.9186743862146518,0.9186743862146518
38,Case111_12,1,12,1,0.9997676999999999,0.8321197411003236,0.7503482463628816,0.7503482463628816
39,Case111_13,1,13,1,0.9997273000000001,0.6068480173230477,0.84855736839997,0.84855736839997
40,Case111_14,1,14,1,0.9996101000000001,0.5506834483691974,0.8816543862601212,0.8816543862601212
41,Case111_15,1,15,1,0.9995763000000001,0.452970530081913,0.6831381566964778,0.6831381566964778
42,Case111_16,1,16,1,0.99984527,0.6213503649635037,0.7537580485007275,0.7537580485007275
43,Case111_2,1,2,1,0.99880946,0.6213503649635037,0.6647782332082187,0.6647782332082187
44,Case111_4,1,4,1,0.9997116,0.6068480173230477,0.6742556299490634,0.6742556299490634
45,Case111_9,1,9,1,0.9998341999999999,0.7838916854712723,0.9158468806781634,0.9158468806781634
46,Case113_4,0,4,1,0.90954894,0.21689421689421695,0.8856294914792437,0.8856294914792437
47,Case115_12,1,12,1,0.9976292,0.29441404680206495,0.3631219098381018,0.3631219098381018
48,Case115_14,1,14,1,0.99031395,0.26712223587223594,0.7897242950948963,0.7897242950948963
49,Case115_18,1,18,1,0.999658,0.28493107769423553,0.6575975850051143,0.6575975850051143
50,Case115_4,1,4,1,0.99995685,0.3564873417721519,0.8075664488842699,0.8075664488842699
51,Case115_5,1,5,1,0.9999844999999999,0.40706406166932485,0.8653560419894291,0.8653560419894291
52,Case115_9,1,9,1,0.99891555,0.2595507976490343,0.7336922485355438,0.7336922485355438
53,Case116,1,1,1,0.99736816,0.349937343358396,0.860361357367248,0.860361357367248
54,Case116_3,1,3,1,0.9984963,0.5200092528336804,0.8735504520466164,0.8735504520466164
55,Case117_3,0,3,0,0.9977389000000001,0.3460495455878042,0.8407973641700438,0.8407973641700438
56,Case119_11,0,11,1,0.9789017,0.3469485495347563,0.7077164717194042,0.7077164717194042
57,Case119_2,0,2,1,0.97743565,0.23563254071728634,0.8744988984738166,0.8744988984738166
58,Case119_7,0,7,1,0.84785444,0.11329192546583844,0.034382877948253454,0.034382877948253454
59,Case119_8,0,8,1,0.9823529000000001,0.17658730158730163,0.7337213497709343,0.7337213497709343
60,Case11_11,1,11,1,0.9934409,0.38055681744435066,0.8969370160519382,0.8969370160519382
61,Case11_12,1,12,1,0.99813074,0.3176252448922474,0.9016041884887772,0.9016041884887772
62,Case11_13,1,13,1,0.9994171999999999,0.3559710316287318,0.8788454635487022,0.8788454635487022
63,Case11_16,1,16,1,0.9995914,0.08430138230903994,-1.69870899144051,-1.69870899144051
64,Case11_18,1,18,1,0.99938047,0.30996896245935546,0.8599542109488713,0.8599542109488713
65,Case11_19,1,19,1,0.99945456,0.18729166666666663,0.8338785704368962,0.8338785704368962
66,Case11_9,1,9,1,0.99943954,0.2426143492642867,0.7507934458169102,0.7507934458169102
67,Case120_2,1,2,1,0.9992136,0.39932082614262643,0.7915545416512941,0.7915545416512941
68,Case120_3,1,3,1,0.99814737,0.4412556689342404,0.8762003768121013,0.8762003768121013
69,Case121,0,1,0,0.999851,0.26599142373614604,0.7813678967196718,0.7813678967196718
70,Case121_4,0,4,0,0.999808,0.24113840960240052,-2.932156415021168,-2.932156415021168
71,Case121_5,0,5,0,0.9975641,0.3462670480454336,0.724010374132081,0.724010374132081
72,Case122_10,0,10,0,0.9999753,0.1441998784405658,0.9251952882655528,0.9251952882655528
73,Case122_11,0,11,0,0.99997735,0.27000879507475806,0.8426178012632244,0.8426178012632244
74,Case122_12,0,12,0,0.9996619000000001,0.27927630855811303,0.851922444236775,0.851922444236775
75,Case122_3,0,3,0,0.9990527,0.12339572192513348,0.8789746651229576,0.8789746651229576
76,Case122_4,0,4,0,0.9980032,0.40302758227860314,0.8789382787529436,0.8789382787529436
77,Case122_7,0,7,0,0.9999577,0.07103966430508057,0.8309179279141616,0.8309179279141616
78,Case122_9,0,9,0,0.99999225,0.43530791788856305,0.8745885825919081,0.8745885825919081
79,Case123_2,1,2,1,0.79096365,0.24444987907937277,0.9024679981217223,0.9024679981217223
80,Case123_3,1,3,0,0.7594662,0.4098735664162727,0.8865853181389347,0.8865853181389347
81,Case123_7,1,7,1,0.99147534,0.23510394005317847,0.8670670358343714,0.8670670358343714
82,Case123_8,1,8,1,0.9904603000000001,0.28858802127064087,0.7097495088813633,0.7097495088813633
83,Case124,0,1,0,0.9442345,0.13064510701305687,0.8524279134236334,0.8524279134236334
84,Case124_3,0,3,0,0.7617404999999999,0.2745077159261329,0.8718597308046777,0.8718597308046777
85,Case124_5,0,5,0,0.9057728,0.25797002206497743,0.7551002615117244,0.7551002615117244
86,Case125_2,0,2,1,0.77763426,0.21896294373418113,0.8090822326230986,0.8090822326230986
87,Case127_10,1,10,1,0.9987121999999999,0.7118555806283631,0.905845682060972,0.905845682060972
88,Case127_11,1,11,1,0.9992747,0.6068480173230477,0.7540582169925171,0.7540582169925171
89,Case127_15,1,15,1,0.9996710999999999,0.6068480173230477,0.8026188556194097,0.8026188556194097
90,Case127_17,1,17,1,0.9984976000000001,0.6844586374695865,0.7930085162681614,0.7930085162681614
91,Case127_6,1,6,1,0.9906504,0.6068480173230477,0.7425464593350571,0.7425464593350571
92,Case127_8,1,8,1,0.9991708,0.7118555806283631,0.6891671619784454,0.6891671619784454
93,Case129_3,0,3,0,0.9896164000000001,0.2270130131641872,0.9070220933285673,0.9070220933285673
94,Case129_5,0,5,0,0.9963610999999999,0.3378727521642013,0.9073829553193513,0.9073829553193513
95,Case12_10,0,10,0,0.9994380999999999,0.20621381306865183,0.8286194256646753,0.8286194256646753
96,Case12_11,0,11,0,0.9965659,0.46081097413584715,0.9015763664618555,0.9015763664618555
97,Case12_12,0,12,0,0.9969046999999999,0.37749999999999995,0.7068449203577905,0.7068449203577905
98,Case12_13,0,13,0,0.9928749,0.38136645962732907,0.9024175689419799,0.9024175689419799
99,Case12_14,0,14,0,0.99611986,0.49184858662188635,0.8208320086113345,0.8208320086113345
100,Case12_15,0,15,0,0.9967741,0.23829113924050627,0.8896653720171012,0.8896653720171012
101,Case12_16,0,16,0,0.99602467,0.29629779159433145,0.8541969435262549,0.8541969435262549
102,Case12_17,0,17,0,0.9942679,0.16999999999999993,0.7913584593498593,0.7913584593498593
103,Case12_18,0,18,0,0.9942109,0.484472049689441,0.7070520572198928,0.7070520572198928
104,Case12_19,0,19,0,0.99502945,0.4474467418546366,0.8662243500853186,0.8662243500853186
105,Case12_20,0,20,0,0.9882911,0.20836708563066708,0.5785819383144735,0.5785819383144735
106,Case12_9,0,9,0,0.99886835,0.3520349744977621,0.902682157268332,0.902682157268332
107,Case133_2,0,2,1,0.99926203,0.3093842703132913,0.9181151868319524,0.9181151868319524
108,Case134,0,1,0,0.9724427999999999,0.3563895781637718,0.4796923824197411,0.4796923824197411
109,Case135_10,1,10,1,0.9993051,0.5506834483691972,0.8317028671714835,0.8317028671714835
110,Case135_12,1,12,1,0.9992034,0.49266503667481654,0.8370814713505804,0.8370814713505804
111,Case135_6,1,6,1,0.9990952,0.6213503649635037,0.7945402810765656,0.7945402810765656
112,Case136_3,0,3,1,0.99616736,0.6844586374695865,0.8241750417180435,0.8241750417180435
113,Case137_4,0,4,1,0.978377,0.08497357160835639,0.7732397150410117,0.7732397150410117
114,Case138,1,1,0,0.81851506,0.2583503234413148,0.8037868291695066,0.8037868291695066
115,Case138_2,1,2,1,0.9405885,0.2100253807106598,0.827687090598182,0.827687090598182
116,Case13_2,0,2,0,0.9998433000000001,0.361181080324657,0.36355911808182717,0.36355911808182717
117,Case13_4,0,4,0,0.99088866,0.17243912678421502,0.9084445337438993,0.9084445337438993
118,Case13_5,0,5,0,0.9977328999999999,0.12901234567901232,0.8644795340124731,0.8644795340124731
119,Case13_7,0,7,0,0.99977326,0.20498084291187724,0.878781481197726,0.878781481197726
120,Case140,1,1,1,0.5910493,0.3152499999999999,0.8848536995651005,0.8848536995651005
121,Case142,0,1,0,0.5821203,0.28251841812621625,0.8851659236515649,0.8851659236515649
122,Case142_2,0,2,0,0.6475162,0.20665819627224935,0.7454957772308244,0.7454957772308244
123,Case144,0,1,0,0.9792052,0.16658503134796254,0.8453719829761749,0.8453719829761749
124,Case145,0,1,0,0.99713117,0.38136645962732907,0.6994920892332872,0.6994920892332872
125,Case145_2,0,2,0,0.99813294,0.4821705856255545,0.8417948777826274,0.8417948777826274
126,Case146_2,0,2,0,0.9963953000000001,0.37749999999999995,0.8524238403172436,0.8524238403172436
127,Case153_4,0,4,0,0.9999415,0.24085365853658525,0.9082930516597314,0.9082930516597314
128,Case155,0,1,0,0.9956552,0.2181302554339204,0.9102742281434852,0.9102742281434852
129,Case155_10,0,10,0,0.9990230999999999,0.407489129729379,0.891406848159196,0.891406848159196
130,Case155_11,0,11,0,0.9984280999999999,0.4838308457711443,0.853989103616362,0.853989103616362
131,Case155_12,0,12,0,0.98984706,0.3132590644484502,0.679423991852784,0.679423991852784
132,Case155_4,0,4,0,0.9999171,0.37784325889164605,0.8901897009490797,0.8901897009490797
133,Case155_7,0,7,0,0.99686855,0.3130526060801808,0.6170738213038005,0.6170738213038005
134,Case155_8,0,8,0,0.9987550999999999,0.07696148521368074,-1.6143804760091314,-1.6143804760091314
135,Case155_9,0,9,0,0.9989575999999999,0.26867951127819545,0.790476291012425,0.790476291012425
136,Case156,1,1,1,0.99998724,0.6457317073170732,0.899485015458214,0.899485015458214
137,Case156_6,1,6,1,0.9995371999999999,0.8321197411003236,0.907163108918423,0.907163108918423
138,Case163,1,1,1,0.96000946,0.06173038879244219,0.9128976894346548,0.9128976894346548
139,Case163_2,1,2,1,0.99681073,0.28537603857247407,0.8614603416670559,0.8614603416670559
140,Case163_6,1,6,1,0.99830484,0.41867356284682933,0.7793798738302435,0.7793798738302435
141,Case174_5,1,5,1,0.9927763000000001,0.3162183826148912,0.4719677545552843,0.4719677545552843
142,Case178_11,0,11,0,0.9978664,0.7118555806283631,0.5551873841586286,0.5551873841586286
143,Case178_12,0,12,0,0.9954213,0.7118555806283631,0.9076683519664628,0.9076683519664628
144,Case178_13,0,13,0,0.9952211,0.6457317073170732,0.8545089533995397,0.8545089533995397
145,Case178_14,0,14,0,0.9936767,0.6213503649635035,0.924997570643224,0.924997570643224
146,Case178_15,0,15,0,0.99352807,0.7838916854712723,0.8124620351367792,0.8124620351367792
147,Case178_16,0,16,0,0.9949621,0.6844586374695864,0.5578200979001808,0.5578200979001808
148,Case178_17,0,17,0,0.995649,0.6457317073170732,0.8867295960093076,0.8867295960093076
149,Case178_18,0,18,0,0.9915659,0.6004026610644257,0.8831377096579235,0.8831377096579235
150,Case178_19,0,19,0,0.9841416,0.6213503649635037,0.8573052365042755,0.8573052365042755
151,Case178_2,0,2,0,0.99055535,0.6844586374695864,0.7640814938974525,0.7640814938974525
152,Case178_20,0,20,0,0.98189294,0.4932844932844933,0.848906948714629,0.848906948714629
153,Case178_6,0,6,0,0.9898848,0.8321197411003236,0.8003234150513074,0.8003234150513074
154,Case178_7,0,7,0,0.99107075,0.7191771552307484,0.8879744908333322,0.8879744908333322
155,Case178_9,0,9,0,0.99849445,0.6844586374695865,0.9140084936849019,0.9140084936849019
156,Case179_6,1,6,1,0.9956799999999999,0.49854166666666655,0.8584508942585084,0.8584508942585084
157,Case17_11,1,11,1,0.9999324,0.2053348770929817,-0.5757528593924186,-0.5757528593924186
